%
@ATTRIBUTE ATTR1 REAL
@ATTRIBUTE ATTR2 REAL
@ATTRIBUTE ATTR3 REAL
@ATTRIBUTE ATTR4 REAL
@ATTRIBUTE ATTR5 REAL
@ATTRIBUTE ATTR6 REAL
@ATTRIBUTE ATTR7 REAL
@ATTRIBUTE ATTR8 REAL
@ATTRIBUTE ATTR9 REAL
@ATTRIBUTE ATTR10 REAL
%
@DATA
60.4187, 2959.99, 73.9589, 2.7403, 99.2555, 61.2849, 97.6995, 120.839, 1408.29, 18.0639
73.309, 9379.23, 28.1131, 2.41096, 22.1244, 53.6097, 97.967, 124.219, 850.517, 16.1951
63.7294, 4645.73, 65.9723, 3.38698, 125.666, 81.5674, 97.8491, 120.555, 1642.3, 18.5164
50.7358, 4214.84, 8.54547, 0.887308, 123.179, 82.4409, 97.7287, 121.534, 1750.61, 18.8359
40.5489, 6554.51, 85.5553, 1.92253, 31.6389, 89.7886, 98.07, 123.116, 1593.49, 16.5131
40.8944, 4202.71, 87.4616, 3.19931, 35.1518, 87.3975, 98.192, 122.978, 806.43, 15.6298
66.0472, 4421.25, 69.3641, 2.36306, 56.8903, 77.573, 97.6742, 123.647, 1778.83, 14.7263
79.1478, 3036.25, 82.1326, 2.49151, 76.1488, 91.8531, 98.0938, 120.36, 1419.78, 15.0424
76.03, 8203.35, 60.4168, 2.42143, 84.1547, 82.6166, 97.9384, 121.023, 1182.31, 15.8538
74.9978, 9178.13, 75.0465, 1.77395, 66.5815, 54.309, 97.0602, 123.944, 1672.84, 13.0536
35.3506, 6599.64, 17.4613, 3.5004, 35.2781, 77.7221, 98.8603, 123.595, 1547.55, 16.2995
34.1609, 5240.98, 34.2798, 2.72555, 125.641, 89.0896, 97.9238, 122.241, 938.379, 18.0654
94.6648, 8249.63, 71.7346, 2.80623, 31.5888, 56.4971, 98.6909, 120.846, 1781.84, 17.3098
42.4745, 2466.21, 31.3936, 1.65, 127.075, 68.4771, 98.9843, 124.609, 984.427, 17.4383
63.0248, 3950.95, 18.0358, 3.09134, 118.934, 53.4462, 98.4619, 121.905, 1371.92, 18.2161
45.7644, 5965.62, 63.5497, 3.6001, 38.1514, 82.7485, 97.3196, 120.216, 1759.02, 13.8499
83.3086, 3097.8, 22.9938, 0.864442, 66.8358, 56.4336, 98.0404, 122.23, 913.544, 17.2278
43.0045, 6682.61, 90.3648, 1.69186, 58.8333, 86.1722, 97.9088, 120.567, 1048.53, 13.1579
98.793, 5789.86, 51.9819, 2.59993, 65.3286, 79.6713, 97.8461, 123.001, 1563.05, 15.2924
81.9334, 6196.79, 51.7361, 3.52551, 80.8942, 90.82, 97.267, 120.498, 1219.24, 14.4823
86.2971, 6840.15, 79.9143, 2.95823, 120.792, 57.4521, 98.2406, 121.95, 1128.23, 18.2129
59.1449, 4487.9, 35.8298, 3.51513, 121.761, 82.4514, 98.3164, 121.837, 1183.24, 15.5273
82.4586, 3001.15, 90.124, 1.5061, 23.5018, 71.1103, 97.4838, 121.002, 1424.85, 16.9667
